"id","user_id","vehicle_model_id","package_id","travel_type_id","from_area_id","to_area_id","from_city_id","to_city_id","from_date","to_date","online_booking","mobile_site_booking","booking_created","from_lat","from_long","to_lat","to_long","X","X.1","Car_Cancellation"
132516,22179,12,NA,2,1096,393,NA,NA,3,NA,0,0,3,12.96519,77.71932,13.19956,77.70688,NA,NA,"0"
132529,22187,65,NA,2,1061,393,NA,NA,4,NA,0,0,3,12.924878,77.566255,13.19956,77.70688,NA,NA,"0"
132532,23180,12,NA,2,1192,353,NA,NA,4,NA,0,0,3,12.97677,77.5727,13.03241,77.59914,NA,NA,"0"
132547,30849,12,NA,2,515,849,NA,NA,3,NA,0,0,3,12.97896,77.67345,12.95434,77.60072,NA,NA,"0"
132548,22198,12,NA,2,83,463,NA,NA,5,NA,0,0,3,12.92415,77.67229,12.96037,77.58132,NA,NA,"0"
132549,22199,12,NA,2,1052,393,NA,NA,4,NA,0,0,3,12.912695,77.576265,13.19956,77.70688,NA,NA,"0"
132554,12997,12,NA,2,1330,590,NA,NA,4,NA,0,0,3,12.953434,77.70651,13.00826,77.56433,NA,NA,"0"
132560,20380,12,NA,2,1068,1384,NA,NA,3,NA,0,0,3,13.044009,77.606805,13.02853,77.54625,NA,NA,"0"
132562,21635,85,NA,2,571,243,NA,NA,4,NA,0,0,3,12.95185,77.69642,13.24373,77.70915,NA,NA,"0"
132565,403,28,NA,2,1192,83,NA,NA,4,NA,0,0,3,12.97677,77.5727,12.92415,77.67229,NA,NA,"0"
132575,22215,12,NA,2,293,1069,NA,NA,4,NA,0,0,3,12.849482,77.663187,12.949764,77.643524,NA,NA,"0"
132582,22218,12,NA,2,585,58,NA,NA,4,NA,0,0,3,12.97677,77.5727,12.88963,77.60119,NA,NA,"0"
132584,22219,12,NA,2,849,186,NA,NA,4,NA,0,0,3,12.95434,77.60072,12.80257,77.70453,NA,NA,"0"
132586,22220,12,NA,1,1086,NA,15,32,4,"1/2/2013",0,0,3,12.907487,77.64729,NA,NA,NA,NA,"0"
132593,18298,24,NA,2,1192,832,NA,NA,4,NA,0,0,4,12.97677,77.5727,12.88019,77.64558,NA,NA,"0"
132601,22224,12,NA,2,1084,585,NA,NA,4,NA,0,0,4,12.892657,77.581866,12.97677,77.5727,NA,NA,"0"
132603,22225,12,NA,2,1173,963,NA,NA,4,NA,0,0,4,12.959979,77.647998,12.99111,77.59204,NA,NA,"0"
132613,22231,85,NA,2,1286,393,NA,NA,4,NA,0,0,4,12.973448,77.62032,13.19956,77.70688,NA,NA,"0"
132622,22237,12,NA,1,393,NA,15,29,7,"1/7/2013",0,0,4,13.19956,77.70688,NA,NA,NA,NA,"0"
132636,22244,12,NA,2,977,1098,NA,NA,4,NA,0,0,4,12.969933,77.533286,12.93652,77.54481,NA,NA,"0"
132647,19489,12,NA,2,393,308,NA,NA,5,NA,1,0,4,13.19956,77.70688,12.99049,77.69798,NA,NA,"0"
132654,21893,12,NA,2,156,1384,NA,NA,4,NA,0,0,4,13.02622,77.70143,13.02853,77.54625,NA,NA,"0"
132655,22253,12,NA,2,393,58,NA,NA,4,NA,0,0,4,13.19956,77.70688,12.88963,77.60119,NA,NA,"0"
132660,22256,12,NA,2,1181,572,NA,NA,4,NA,0,0,4,12.97896,77.67345,12.91873,77.61494,NA,NA,"0"
132680,18929,12,NA,2,571,1010,NA,NA,5,NA,0,0,5,12.95185,77.69642,12.96691,77.74935,NA,NA,"0"
132691,4141,85,NA,2,1010,393,NA,NA,5,NA,0,0,5,12.96691,77.74935,13.19956,77.70688,NA,NA,"0"
132696,19545,12,NA,2,105,1334,NA,NA,5,NA,1,0,5,13.01766,77.64503,13.050994,77.593661,NA,NA,"0"
132711,22284,28,NA,2,207,1021,NA,NA,5,NA,0,0,5,13.00435,77.61642,13.02853,77.54625,NA,NA,"0"
132726,18034,12,NA,2,1183,1371,NA,NA,7,NA,0,0,5,12.965563,77.668576,13.000418,77.674835,NA,NA,"0"
132735,22299,12,NA,2,1150,393,NA,NA,6,NA,0,0,5,12.99287,77.71662,13.19956,77.70688,NA,NA,"0"
132746,20764,12,NA,2,1192,172,NA,NA,6,NA,1,0,5,12.97677,77.5727,12.97091,77.6305,NA,NA,"0"
132753,16599,12,NA,2,269,293,NA,NA,6,NA,0,0,6,12.9744,77.69183,12.849482,77.663187,NA,NA,"0"
132765,15235,85,NA,2,977,393,NA,NA,7,NA,0,0,6,12.969933,77.533286,13.19956,77.70688,NA,NA,"0"
132774,18939,12,NA,2,571,585,NA,NA,6,NA,0,0,6,12.95185,77.69642,12.97677,77.5727,NA,NA,"0"
132779,20764,12,1,3,172,NA,NA,NA,6,NA,0,0,6,12.97091,77.6305,NA,NA,NA,NA,"0"
132789,19545,12,NA,2,1068,105,NA,NA,6,NA,1,0,6,13.044009,77.606805,13.01766,77.64503,NA,NA,"0"
132803,22333,12,NA,2,1120,585,NA,NA,7,NA,0,0,6,12.89724,77.61065,12.97677,77.5727,NA,NA,"0"
132805,21323,12,NA,2,83,776,NA,NA,6,NA,0,0,6,12.92415,77.67229,13.01508,77.67796,NA,NA,"0"
132811,92,12,NA,2,585,693,NA,NA,6,NA,1,0,6,12.97677,77.5727,12.90868,77.60398,NA,NA,"0"
132818,815,85,NA,2,393,271,NA,NA,6,NA,1,0,6,13.19956,77.70688,12.95641,77.64076,NA,NA,"0"
132819,6026,12,NA,2,105,1120,NA,NA,7,NA,0,0,6,13.01766,77.64503,12.89724,77.61065,NA,NA,"0"
132821,22339,12,1,3,1263,NA,NA,NA,6,NA,0,0,6,12.96897,77.59456,NA,NA,NA,NA,"0"
132822,17826,28,NA,2,689,393,NA,NA,7,NA,1,0,6,12.97672,77.64927,13.19956,77.70688,NA,NA,"0"
132823,22342,12,NA,2,776,849,NA,NA,6,NA,0,0,6,13.01508,77.67796,12.95434,77.60072,NA,NA,"0"
132830,22297,12,NA,2,1010,1166,NA,NA,6,NA,0,0,6,12.96691,77.74935,12.997198,77.669514,NA,NA,"0"
132838,4491,54,NA,1,292,NA,NA,32,7,"1/5/2013",1,0,6,12.93944,77.62923,NA,NA,NA,NA,"0"
132839,22350,12,NA,2,136,585,NA,NA,7,NA,0,0,6,12.90796,77.62418,12.97677,77.5727,NA,NA,"0"
132842,22353,12,NA,2,824,393,NA,NA,7,NA,0,0,6,13.06557,77.58646,13.19956,77.70688,NA,NA,"0"
132844,22356,12,NA,2,393,1189,NA,NA,7,NA,1,0,6,13.19956,77.70688,12.91873,77.61494,NA,NA,"0"
